id;user_id;code;message;transaction_id;montant
1;hé;ah gestionnaire énergique;juriste;de peur de au-devant conseil d’administration;1274.59
2;pff;bang secouriste conseil d’administration;pour;pourpre badaboum à la faveur de;12970.85
3;ding afin que;à cause de que;pendant que;vorace hystérique;13775.04
4;blablabla oser;corriger alors que vraiment;extra;parlementaire bien désormais;9255.61
5;au cas où;collègue;gâcher commissionnaire;touchant réconcilier;27821.67
6;corps enseignant horrible;dans;clientèle tout croâ;au point que multiplier vaste;30440.97
7;près en decà de autrement;pleurer en faveur de;débile chef de cuisine;divinement;11147.92
8;entrevoir entre;près;gai;corner;4134.29
9;ranimer hystérique;quoique miam conseil d’administration;oh;diététiste à moins de rédaction;17246.85
10;au moyen de blablabla;multiple;avant que;hors;25520.84
